Energy_(eV)	fit	residual
9640.096689016433	0.00021178584209100433	-3.208369275242934e-05
9640.343802510542	0.000207092405748484	-1.2440479593553764e-05
9640.590918074133	0.0002146153003400262	-1.652918901248152e-05
9640.838035701956	0.00024178642707980866	1.4300388305942138e-05
9641.08515538879	0.00023752285428438124	6.696491069146682e-06
9641.332277129432	0.00022512882381205287	-3.5919522444130905e-05
9641.579400918701	0.00022090972199969113	-6.655848308493624e-06
9641.826526751436	0.00025300764830326976	-4.852021926767653e-07
9642.0736546225	0.00024443754444041324	-9.055306055533077e-06
9642.320784526772	0.00023377468004483648	1.654820919802898e-05
9642.567916459155	0.00024607541673511273	-1.139401047674807e-05
9642.81505041457	0.00023790269090507253	-2.3066123816792836e-05
9643.062186387962	0.0002545483160472287	-4.873127493196537e-05
9643.309324374293	0.000286626464214447	1.1580567918244734e-05
9643.556464368547	0.00026350485205495965	-7.803062128283061e-06
9643.803606365725	0.00027441249857161306	-2.131159664734366e-05
9644.050750360857	0.00028291893478302486	1.7894011810926764e-05
9644.297896348977	0.0002829319707703089	-1.2712592914329622e-05
9644.545044325158	0.00028634917083093293	-1.5260257927577204e-05
9644.792194284475	0.00030613815618627644	4.437402612122819e-05
9645.039346222029	0.0002923797689829847	-2.8794417217823992e-05
9645.286500132948	0.0003348153742731997	7.774360473293047e-05
9645.53365601237	0.00033831150679095	6.533343038702338e-05
9645.780813855456	0.00032915779283008485	-4.025655052785238e-06
9646.027973657383	0.00032201501596684513	-4.7752937702437047e-05
9646.27513541335	0.00036690876186225356	2.585169208187295e-05
9646.522299118575	0.0003712147616661607	4.4871025734663354e-05
9646.769464768293	0.00038009656864217633	1.1123930316076923e-05
9647.016632357756	0.0004172684224455813	2.8890089745819828e-05
9647.263801882242	0.0004539554694592108	2.215291902166465e-05
9647.510973337037	0.00045918916679009734	3.527156057064971e-06
9647.758146717455	0.0004898509970066854	7.943579948618373e-06
9648.005322018822	0.0005301911476573471	8.517963440136684e-06
9648.252499236485	0.0005497825327244534	-2.517677948600961e-05
9648.49967836581	0.0006114313105493531	1.2612538043404054e-05
9648.746859402178	0.0006722567656324793	-6.0970299871374945e-05
9648.994042340986	0.0007168731553007293	-5.9300938734999976e-05
9649.24122717766	0.0007560659970721327	-3.840034985680256e-05
9649.488413907626	0.0007872537659837598	-0.00011537546761804609
9649.73560252634	0.0008658964049204037	1.3372037939118745e-05
9649.982793029278	0.0009091926038504874	-1.0138251958158795e-05
9650.229985411925	0.0009524984040625607	-4.954524743710381e-05
9650.477179669786	0.0009451682264815553	-4.33550641840008e-05
9650.724375798383	0.0010154732376413127	-4.7014379940250655e-05
9650.971573793258	0.0010285871890847323	-1.7994121633173278e-05
9651.218773649967	0.0010269132720860644	-0.00011112930309787141
9651.465975364083	0.0010769020856734614	3.1116090298738625e-05
9651.713178931195	0.0010846254455685908	-1.524199314256714e-05
9651.960384346916	0.001102758534481751	3.708965552745667e-05
9652.207591606864	0.0010815572807592088	0.000122460657791419
9652.454800706686	0.0010836440907140566	2.9904941907504985e-05
9652.702011642032	0.0010796191366716028	-4.808433905095582e-05
9652.949224408583	0.0010616465481895951	-2.629116037381981e-05
9653.196439002024	0.0011322586098355127	-9.40639684417217e-05
9653.44365541806	0.001100667609730994	-6.918757918025656e-05
9653.69087365242	0.001116185177052538	-0.000133201546177
9653.938093700834	0.001187430493880714	-0.00014864560175575675
9654.185315559063	0.001179673965832731	-0.00012061293936051036
9654.432539222875	0.0012459094765375199	1.4815006201188054e-05
9654.679764688055	0.001261306687201953	-3.977553333447156e-05
9654.926991950408	0.0012192335665378797	-2.2200003259829253e-05
9655.174221005747	0.0012109783825387031	-5.988185495677217e-05
9655.421451849907	0.0011560818533877045	-1.934054292582611e-05
9655.66868447874	0.001093504917741745	1.776050010185437e-12
9655.915918888106	0.0010476887077808398	-2.869179652980171e-06
9656.163155073886	0.0009685919670166807	0.00010095660851492099
9656.410393031976	0.0008662958213694657	3.444965331093539e-05
9656.65763275828	0.0008193160373952762	4.950446610500975e-05
9656.90487424873	0.0007202872506171284	3.716505173379501e-05
9657.152117499263	0.0006560454789299791	3.3367246128543945e-05
9657.399362505834	0.0005990604198962624	-1.8050605502892758e-05
9657.646609264411	0.0005349376497858366	6.018807081641542e-05
9657.893857770981	0.0004937116474781078	-6.136478115278347e-05
9658.141108021542	0.00047820991208002083	1.0743870810510196e-06
9658.388360012108	0.00044450164899327354	1.5085044585275923e-05
9658.635613738707	0.00040720182946939984	3.902450648648337e-05
9658.882869197385	0.0003901152125015602	1.6370682116363753e-05
9659.130126384198	0.0003932898469838676	3.632647033982963e-05
9659.377385295213	0.00038152666846278836	7.299799621858722e-05
9659.624645926522	0.0003232426588369342	2.4814491451155606e-05
9659.871908274223	0.00032106136400916643	-2.3256498678263867e-05
