Energy_(eV)	fit	residual
9640.115776519016	0.00022843388070644007	-3.491555039091503e-05
9640.362906282226	0.00022401923544545347	3.769441066433959e-05
9640.610038103243	0.00022938764019869387	-5.3122140728572036e-05
9640.857171976848	0.0002415295642442808	-1.032365695512782e-05
9641.104307897844	0.000250135169947642	4.464999533661739e-05
9641.351445861064	0.0002421292655298198	7.903566173929051e-06
9641.598585861355	0.00024234417584272197	0.00012308057546629573
9641.845727893582	0.0002824319884997172	5.778646405878182e-05
9642.092871952638	0.0002696525881159256	6.416741350490096e-05
9642.340018033432	0.00025596711156510585	-5.336715912403504e-05
9642.587166130896	0.000276630582974496	-2.5039547782680627e-05
9642.83431623998	0.00025992147074691864	1.6115596476072504e-05
9643.081468355653	0.00028556743177050474	5.134173241461398e-05
9643.328622472913	0.00030467228212096025	5.2819060921551614e-05
9643.575778586766	0.0002749133338456254	3.899762816305969e-06
9643.822936692244	0.00030086084633621326	-2.7633774182838386e-05
9644.070096784402	0.0003148599113543799	-2.5130919062618217e-05
9644.317258858307	0.00032161126609329765	-4.520405408557556e-05
9644.564422909056	0.0003294620230583488	4.695224213108288e-05
9644.811588931756	0.00034710647519984304	-1.9708844979030168e-05
9645.058756921531	0.0003279881091525879	-0.0001652855199036962
9645.30592687354	0.0003696419046399321	1.0490724393023257e-05
9645.553098782944	0.0003669886370791859	-7.646808241933031e-05
9645.800272644932	0.0003553982192665141	5.372808850933751e-05
9646.047448454712	0.000349172635390748	-0.00010578029400571461
9646.29462620751	0.0003759664226769092	-8.665064665151778e-05
9646.541805898567	0.00035305386633215855	-1.3761453846714651e-05
9646.788987523147	0.00038019858659420804	-0.00010157883256412968
9647.036171076528	0.00039114212647690233	-1.3993893361792325e-05
9647.283356554019	0.0004103575905913815	2.4381920582597534e-05
9647.530543950927	0.00042945037591693306	1.2818146180291936e-05
9647.777733262594	0.0004506613672672992	-4.261226178898489e-05
9648.024924484374	0.0004820424490193772	-3.0391529866817632e-05
9648.272117611637	0.0005073579778225878	-0.0001660229396348575
9648.519312639777	0.000569355758230437	4.9257639412277824e-05
9648.766509564204	0.0006083071123722046	9.58731334860098e-05
9649.013708380338	0.0006355395329989212	-0.00017196383326789936
9649.260909083629	0.0006658575749529281	-0.00012248544148398162
9649.508111669531	0.000689428490733994	-4.143347621318348e-05
9649.755316133529	0.0007759195120334733	-0.00011972146345093674
9650.002522471119	0.0007858928246862819	-0.0001480688504579495
9650.249730677813	0.0008160244704156904	1.6185244080834152e-05
9650.49694074914	0.0008008909244519838	-0.00011391040086233698
9650.74415268065	0.0008591545224256301	-2.499024316083339e-05
9650.991366467913	0.0008355374711217768	-2.944694463477603e-05
9651.238582106504	0.0008492966011490359	-2.718402450546328e-05
9651.485799592021	0.0008757825936699038	-2.7522521746470557e-05
9651.733018920084	0.0008610729725372877	0.00011871479569216387
9651.980240086325	0.0009178119056211733	7.965197962649562e-05
9652.227463086389	0.0008968903322023871	-0.0002554993310028269
9652.474687915945	0.0009260492337424395	-8.455384072143487e-05
9652.721914570671	0.000951047874496235	-5.9555199967639433e-05
9652.969143046274	0.000970526187298116	-9.42032743790123e-06
9653.216373338457	0.0010876365754827013	3.921016991836803e-07
9653.463605442954	0.0010905775903336974	-3.4987583109641514e-05
9653.710839355515	0.001171578827530835	-0.00022989538346321857
9653.958075071898	0.0012918995271961446	-0.0001287350336278202
9654.205312587885	0.0013353522525866564	-0.00020790854714873683
9654.452551899269	0.0014579693328856925	1.0510282299853015e-05
9654.699793001855	0.001522582191259982	-0.0001279765675229116
9654.947035891479	0.0015164363157746112	5.8010926791418616e-12
9655.194280563976	0.0015068505624884015	-0.00018202889595431344
9655.441527015199	0.0014934523458772972	6.51536451213683e-05
9655.688775241028	0.0014111788562215367	7.48498346491793e-05
9655.93602523734	0.001370998003520713	-0.0001722627962146802
9656.18327700005	0.0012464922392923681	-0.00011666127204186419
9656.430530525065	0.0010914557109732628	-2.2613252572129764e-05
9656.677785808326	0.0010184048999067395	-3.818301414892076e-05
9656.925042845776	0.0008875163643860161	-4.644531075821527e-05
9657.172301633382	0.0008089449147133142	-5.6039501043238607e-05
9657.419562167115	0.0007181784678452353	-5.019359169977926e-06
9657.666824442973	0.0006394876464477053	4.427428650081566e-06
9657.914088456962	0.0005709500347622684	-6.411018303535525e-05
9658.1613542051	0.0005349922574318307	9.15355379333145e-05
9658.408621683431	0.0004814310363155488	-0.00022260644086975366
9658.655890888002	0.0004360939889545141	-0.00014148517935337742
9658.903161814877	0.00042592409779053885	3.994842778175489e-05
9659.150434460134	0.0004145386761444492	4.7723355965575975e-05
9659.397708819872	0.0004002697491028803	7.177512858382864e-05
9659.6449848902	0.00033314679282015413	-0.00019844753589595156
9659.89226266723	0.0003395922853043129	-1.9558894942595974e-05
