Energy_(eV)	Live_Counts
9550.0	31.855510740000003
9550.25	31.10952638
9550.5	35.804481530000004
9550.75	28.64423196
9551.0	36.29849164
9551.25	35.800154559999996
9551.5	36.54320989
9551.75	32.84127465
9552.0	35.555555569999996
9552.25	39.99829337
9552.5	34.320987710000004
9552.75	34.567902169999996
9553.0	35.06124155
9553.25	39.258650599999996
9553.5	43.95061727
9553.75	33.08641976
9554.0	48.8832828
9554.25	36.54375941
9554.5	42.22228417
9554.75	47.407407469999995
9555.0	43.45441303
9555.25	52.34567903
9555.5	49.377413340000004
9555.75	43.95494699
9556.0	51.35345337
9556.25	55.55787567
9556.5	55.8049711
9556.75	47.65413915
9557.0	55.80765251
9557.25	49.37869332
9557.5	57.0370371
9557.75	60.98991068
9558.0	58.03048469000001
9558.25	60.49748611
9558.5	59.75955053
9558.75	61.231581309999996
9559.0	72.1091323
9559.25	75.802166
9559.5	75.0738658
9559.75	77.5317198
9560.0	87.9000783
9560.25	86.4238409
9560.5	90.1234568
9560.75	98.51754530000001
9561.0	97.77778
9561.25	96.78512549999999
9561.5	112.5943054
9561.75	113.3527896
9562.0	113.82088250000001
9562.25	120.25209699999999
9562.5	132.3518991
9562.75	141.4822163
9563.0	142.2078377
9563.25	160.25532900000002
9563.5	162.9546736
9563.75	171.36845630000002
9564.0	190.15218370000002
9564.25	188.1370081
9564.5	224.18558969999998
9564.75	209.8751463
9565.0	226.1725398
9565.25	241.73053480000002
9565.5	255.0730711
9565.75	263.71803430000006
9566.0	279.506173
9566.25	310.37165799999997
9566.5	304.1819884
9566.75	328.904988
9567.0	373.08569759999995
9567.25	372.11754770000005
9567.5	395.3675501
9567.75	426.44458209999993
9568.0	467.2082423
9568.25	523.874806
9568.5	568.396064
9568.75	628.180468
9569.0	704.336081
9569.25	782.26072
9569.5	846.789605
9569.75	952.886278
9570.0	1028.6938089999999
9570.25	1133.423492
9570.5	1188.873521
9570.75	1300.5628290000002
9571.0	1334.156582
9571.25	1400.448464
9571.5	1433.89708
9571.75	1521.118936
9572.0	1566.142265
9572.25	1614.8847
9572.5	1693.5086339999998
9572.75	1736.2311690000001
9573.0	1822.850541
9573.25	1881.600212
9573.5	1898.834554
9573.75	1916.5652449999998
9574.0	1916.2798810000002
9574.25	1860.897356
9574.5	1761.8265749999998
9574.75	1635.965268
9575.0	1523.017237
9575.25	1380.594848
9575.5	1264.137646
9575.75	1159.984477
9576.0	1049.826652
9576.25	929.137532
9576.5	844.530246
9576.75	789.175867
9577.0	731.681241
9577.25	689.48236
9577.5	655.555555
9577.75	611.080879
9578.0	588.3387700000001
9578.25	559.313411
9578.5	519.7789425
9578.75	502.24661530000003
9579.0	464.9382716
9579.25	439.2137286
9579.5	398.0448762
9579.75	381.7444332
9580.0	340.77233689999997
9580.25	312.0983462
9580.5	296.3242946
9580.75	276.5171228
9581.0	256.3084926
9581.25	231.1221488
9581.5	227.44412430000003
9581.75	207.2013514
9582.0	197.2837118
9582.25	197.3135266
9582.5	174.58509800000002
9582.75	177.7946695
9583.0	162.7160495
9583.25	158.00841730000002
9583.5	151.56824899999998
9583.75	132.1045586
9584.0	121.9800071
9584.25	116.06743320000001
9584.5	125.4386878
9584.75	112.58308419999999
9585.0	104.4444445
9585.25	97.27383280000001
9585.5	86.9267542
9585.75	87.65432099999998
9586.0	88.64648799999998
9586.25	79.75296670000002
9586.5	72.59600914
9586.75	76.7901235
9587.0	65.1888441
9587.25	73.3253487
9587.5	61.231703200000005
9587.75	58.02463180000001
9588.0	62.2222222
9588.25	57.28175644
9588.5	53.82490532
9588.75	46.42237521
9589.0	51.85337782
9589.25	48.15028246999999
9589.5	53.57774796
9589.75	46.41737599
9590.0	39.261272610000006
9590.25	44.44639582
9590.5	44.446639839999996
9590.75	37.530864210000004
9591.0	41.480202549999994
9591.25	31.85477969
9591.5	31.60603595
9591.75	34.81664426
9592.0	30.870661560000002
9592.25	31.603292600000003
9592.5	41.72839507
9592.75	31.85075474
9593.0	36.2962963
9593.25	32.09876545
9593.5	29.13543752
9593.75	27.16031229
9594.0	29.381375140000003
9594.25	24.69233374
9594.5	23.70266753
9594.75	24.93693124
9595.0	23.704435959999998
9595.25	24.198750489999995
9595.5	23.70571609
9595.75	22.46694155
9596.0	20.49291288
9596.25	23.20890132
9596.5	21.480628160000002
9596.75	20.24691357
9597.0	16.54333262
9597.25	20.49242527
9597.5	17.03758631
9597.75	19.99896381
9598.0	18.517909539999998
9598.25	19.50452715
9598.5	16.540832769999998
9598.75	13.08556664
9599.0	22.96424356
9599.25	15.8039939
9599.5	17.283463929999996
9599.75	19.25925973
9600.0	15.555555539999999
9600.25	16.544124580000002
9600.5	12.838774749999999
9600.75	19.258833510000002
9601.0	11.358817949999999
9601.25	13.827465879999998
9601.5	19.26047887
9601.75	16.788843710000002
9602.0	16.29629628
9602.25	14.81585149
9602.5	16.29715039
9602.75	15.05947349
9603.0	15.556531249999999
9603.25	16.78859967
9603.5	10.616065679999998
9603.75	11.603719239999998
9604.0	12.84060382
9604.25	14.814022889999999
9604.5	18.025301159999998
9604.75	14.075050009999998
9605.0	13.0878833
9605.25	16.04785893
9605.5	14.320987639999998
9605.75	10.122420609999999
9606.0	10.61673538
9606.25	14.569486749999998
9606.5	14.56875496
9606.75	10.86517322
9607.0	12.346350170000001
9607.25	11.11062349
9607.5	12.09833907
9607.75	12.34604489
9608.0	11.60585326
9608.25	10.617589299999999
9608.5	11.603963166
9608.75	14.07273313
9609.0	13.08684701
9609.25	11.358024679999998
9609.5	10.370675270000001
