Legend:

1-P =,Bottom Process
1-A =,Bottom Ambient
2-P =,Top Process
2-A =,Top Ambient


Interval:,10,Seconds
DataPoint,LogDate,LogTime,1-P °C,1-A °C,2-P °C,2-A °C
103,3/31/2023,6:53:57 PM,24,23.2,41,22.4
104,3/31/2023,6:54:07 PM,24,23.2,41,22.4
105,3/31/2023,6:54:17 PM,24,23.2,41,22.4
106,3/31/2023,6:54:27 PM,24,23.2,41,22.4
107,3/31/2023,6:54:37 PM,24,23.2,41,22.4
108,3/31/2023,6:54:47 PM,24,23.2,41,22.4
109,3/31/2023,6:54:57 PM,25,23.3,41,22.4
110,3/31/2023,6:55:07 PM,25,23.3,41,22.4
111,3/31/2023,6:55:17 PM,25,23.3,41,22.4
112,3/31/2023,6:55:27 PM,25,23.3,42,22.4
113,3/31/2023,6:55:37 PM,25,23.3,41,22.4
114,3/31/2023,6:55:47 PM,25,23.3,41,22.5
115,3/31/2023,6:55:57 PM,25,23.3,41,22.5
116,3/31/2023,6:56:07 PM,25,23.3,42,22.5
117,3/31/2023,6:56:17 PM,25,23.3,41,22.5
118,3/31/2023,6:56:27 PM,25,23.3,41,22.5
119,3/31/2023,6:56:37 PM,25,23.3,43,22.5
120,3/31/2023,6:56:47 PM,25,23.3,36,22.5
121,3/31/2023,6:56:57 PM,25,23.3,41,22.5
122,3/31/2023,6:57:07 PM,25,23.3,41,22.5
123,3/31/2023,6:57:17 PM,24,23.3,39,22.6
124,3/31/2023,6:57:27 PM,24,23.4,41,22.6
125,3/31/2023,6:57:37 PM,24,23.4,46,22.6
126,3/31/2023,6:57:47 PM,25,23.4,39,22.6
127,3/31/2023,6:57:57 PM,24,23.4,43,22.6
128,3/31/2023,6:58:07 PM,25,23.4,42,22.6
129,3/31/2023,6:58:17 PM,24,23.4,45,22.6
130,3/31/2023,6:58:27 PM,24,23.4,42,22.6
131,3/31/2023,6:58:37 PM,25,23.4,41,22.6
132,3/31/2023,6:58:47 PM,24,23.5,41,22.6
133,3/31/2023,6:58:57 PM,25,23.5,42,22.6
134,3/31/2023,6:59:07 PM,25,23.6,42,22.7
135,3/31/2023,6:59:17 PM,25,23.6,42,22.7
136,3/31/2023,6:59:27 PM,25,23.6,42,22.7
137,3/31/2023,6:59:37 PM,25,23.6,41,22.7
138,3/31/2023,6:59:47 PM,25,23.6,42,22.7
139,3/31/2023,6:59:57 PM,25,23.6,41,22.7
140,3/31/2023,7:00:07 PM,25,23.6,41,22.7
141,3/31/2023,7:00:17 PM,25,23.6,42,22.7
142,3/31/2023,7:00:27 PM,25,23.7,41,22.7
143,3/31/2023,7:00:37 PM,25,23.7,42,22.7
144,3/31/2023,7:00:47 PM,25,23.7,42,22.7
145,3/31/2023,7:00:57 PM,25,23.7,42,22.8
146,3/31/2023,7:01:07 PM,25,23.7,42,22.8
147,3/31/2023,7:01:17 PM,25,23.7,42,22.8
148,3/31/2023,7:01:27 PM,25,23.8,42,22.8
149,3/31/2023,7:01:37 PM,25,23.8,41,22.8
150,3/31/2023,7:01:47 PM,25,23.8,42,22.8
151,3/31/2023,7:01:57 PM,25,23.8,42,22.8
152,3/31/2023,7:02:07 PM,25,23.8,42,22.8
153,3/31/2023,7:02:17 PM,25,23.8,42,22.8
154,3/31/2023,7:02:27 PM,25,23.8,42,22.8
155,3/31/2023,7:02:37 PM,25,23.8,42,22.8
156,3/31/2023,7:02:47 PM,25,23.8,42,22.8
157,3/31/2023,7:02:57 PM,25,23.8,42,22.8
158,3/31/2023,7:03:07 PM,25,23.8,42,22.8
159,3/31/2023,7:03:17 PM,25,23.8,42,22.8
160,3/31/2023,7:03:27 PM,25,23.8,42,22.8
161,3/31/2023,7:03:37 PM,25,23.8,42,22.8
162,3/31/2023,7:03:47 PM,25,23.8,42,22.8
163,3/31/2023,7:03:57 PM,25,23.8,42,22.8
164,3/31/2023,7:04:07 PM,24,23.8,42,22.8
165,3/31/2023,7:04:17 PM,24,23.9,42,22.8
166,3/31/2023,7:04:27 PM,25,23.9,42,22.8
167,3/31/2023,7:04:37 PM,25,23.9,42,22.8
168,3/31/2023,7:04:47 PM,25,23.9,42,22.8
169,3/31/2023,7:04:57 PM,25,23.9,42,22.8
170,3/31/2023,7:05:07 PM,25,23.9,41,22.8
171,3/31/2023,7:05:17 PM,25,23.9,41,22.8
172,3/31/2023,7:05:27 PM,25,24.0,42,22.8
173,3/31/2023,7:05:37 PM,25,24.0,42,22.9
174,3/31/2023,7:05:47 PM,25,24.0,41,22.9
175,3/31/2023,7:05:57 PM,25,24.1,42,22.9
176,3/31/2023,7:06:07 PM,25,24.1,42,22.9
177,3/31/2023,7:06:17 PM,25,24.1,42,22.9
178,3/31/2023,7:06:27 PM,25,24.1,42,22.9
179,3/31/2023,7:06:37 PM,25,24.1,42,22.9
180,3/31/2023,7:06:47 PM,25,24.1,42,22.9
181,3/31/2023,7:06:57 PM,25,24.1,42,22.9
182,3/31/2023,7:07:07 PM,25,24.2,42,22.9
183,3/31/2023,7:07:17 PM,25,24.2,42,22.9
184,3/31/2023,7:07:27 PM,25,24.2,42,23.0
185,3/31/2023,7:07:37 PM,25,24.2,42,23.0
186,3/31/2023,7:07:47 PM,25,24.2,40,23.0
187,3/31/2023,7:07:57 PM,25,24.2,42,23.0
188,3/31/2023,7:08:07 PM,25,24.2,42,23.0
189,3/31/2023,7:08:17 PM,24,24.2,42,23.1
190,3/31/2023,7:08:27 PM,25,24.2,42,23.1
191,3/31/2023,7:08:37 PM,25,24.2,42,23.1
192,3/31/2023,7:08:47 PM,25,24.3,42,23.1
193,3/31/2023,7:08:57 PM,25,24.3,42,23.1
194,3/31/2023,7:09:07 PM,25,24.3,42,23.1
195,3/31/2023,7:09:17 PM,25,24.3,42,23.1
196,3/31/2023,7:09:27 PM,25,24.3,44,23.1
197,3/31/2023,7:09:37 PM,25,24.3,43,23.1
198,3/31/2023,7:09:47 PM,25,24.3,42,23.1
199,3/31/2023,7:09:57 PM,25,24.3,42,23.1
200,3/31/2023,7:10:07 PM,25,24.3,42,23.1
201,3/31/2023,7:10:17 PM,25,24.3,41,23.1
202,3/31/2023,7:10:27 PM,25,24.3,42,23.1
203,3/31/2023,7:10:37 PM,25,24.3,42,23.1
204,3/31/2023,7:10:47 PM,25,24.3,44,23.1
205,3/31/2023,7:10:57 PM,25,24.3,41,23.2
206,3/31/2023,7:11:07 PM,25,24.3,41,23.2
207,3/31/2023,7:11:17 PM,25,24.3,42,23.2
208,3/31/2023,7:11:27 PM,25,24.3,41,23.2
209,3/31/2023,7:11:37 PM,25,24.4,42,23.2
210,3/31/2023,7:11:47 PM,25,24.4,41,23.2
211,3/31/2023,7:11:57 PM,25,24.4,42,23.2
