Legend:

1-P =,Bottom Process
1-A =,Bottom Ambient
2-P =,Top Process
2-A =,Top Ambient


Interval:,5,Seconds
DataPoint,LogDate,LogTime,1-P °C,1-A °C,2-P °C,2-A °C
0,3/13/2023,3:57:46 PM,25,21.6,24,21.3
1,3/13/2023,3:57:51 PM,25,21.6,24,21.3
2,3/13/2023,3:57:56 PM,25,21.6,24,21.3
3,3/13/2023,3:58:01 PM,25,21.6,24,21.3
4,3/13/2023,3:58:06 PM,25,21.6,24,21.3
5,3/13/2023,3:58:11 PM,25,21.6,24,21.3
6,3/13/2023,3:58:16 PM,25,21.6,24,21.3
7,3/13/2023,3:58:21 PM,25,21.6,24,21.3
8,3/13/2023,3:58:26 PM,25,21.6,24,21.3
9,3/13/2023,3:58:31 PM,25,21.6,24,21.3
10,3/13/2023,3:58:36 PM,25,21.6,24,21.3
11,3/13/2023,3:58:41 PM,25,21.6,24,21.3
12,3/13/2023,3:58:46 PM,25,21.6,24,21.3
13,3/13/2023,3:58:51 PM,25,21.6,24,21.3
14,3/13/2023,3:58:56 PM,25,21.6,24,21.3
15,3/13/2023,3:59:01 PM,25,21.6,24,21.3
16,3/13/2023,3:59:06 PM,25,21.6,24,21.3
17,3/13/2023,3:59:11 PM,25,21.6,24,21.3
18,3/13/2023,3:59:16 PM,25,21.6,24,21.3
19,3/13/2023,3:59:21 PM,25,21.6,24,21.3
20,3/13/2023,3:59:26 PM,25,21.6,23,21.3
21,3/13/2023,3:59:31 PM,25,21.6,23,21.3
22,3/13/2023,3:59:36 PM,25,21.6,23,21.3
23,3/13/2023,3:59:41 PM,25,21.6,23,21.3
24,3/13/2023,3:59:46 PM,25,21.6,23,21.3
25,3/13/2023,3:59:51 PM,25,21.6,23,21.4
26,3/13/2023,3:59:56 PM,25,21.7,23,21.4
27,3/13/2023,4:00:01 PM,25,21.7,23,21.4
28,3/13/2023,4:00:06 PM,25,21.7,23,21.4
29,3/13/2023,4:00:11 PM,25,21.7,23,21.4
30,3/13/2023,4:00:16 PM,25,21.7,23,21.4
31,3/13/2023,4:00:21 PM,24,21.7,23,21.4
32,3/13/2023,4:00:26 PM,24,21.7,23,21.4
33,3/13/2023,4:00:31 PM,24,21.7,23,21.4
34,3/13/2023,4:00:36 PM,24,21.7,23,21.4
35,3/13/2023,4:00:41 PM,24,21.7,23,21.4
36,3/13/2023,4:00:46 PM,24,21.7,23,21.4
37,3/13/2023,4:00:51 PM,24,21.7,23,21.4
38,3/13/2023,4:00:56 PM,24,21.7,23,21.4
39,3/13/2023,4:01:01 PM,24,21.7,23,21.4
40,3/13/2023,4:01:06 PM,24,21.7,23,21.4
41,3/13/2023,4:01:11 PM,24,21.7,24,21.4
42,3/13/2023,4:01:16 PM,24,21.7,22,21.4
43,3/13/2023,4:01:21 PM,24,21.7,24,21.4
44,3/13/2023,4:01:26 PM,24,21.7,24,21.4
45,3/13/2023,4:01:31 PM,25,21.8,24,21.4
46,3/13/2023,4:01:36 PM,24,21.8,23,21.4
47,3/13/2023,4:01:41 PM,24,21.8,23,21.4
48,3/13/2023,4:01:46 PM,25,21.8,23,21.4
49,3/13/2023,4:01:51 PM,25,21.8,23,21.4
50,3/13/2023,4:01:56 PM,24,21.8,23,21.4
51,3/13/2023,4:02:01 PM,25,21.8,23,21.4
52,3/13/2023,4:02:06 PM,25,21.8,23,21.4
53,3/13/2023,4:02:11 PM,25,21.8,23,21.4
54,3/13/2023,4:02:16 PM,25,21.8,23,21.4
55,3/13/2023,4:02:21 PM,25,21.8,23,21.4
56,3/13/2023,4:02:26 PM,25,21.8,23,21.4
57,3/13/2023,4:02:31 PM,25,21.8,23,21.4
58,3/13/2023,4:02:36 PM,25,21.8,23,21.4
59,3/13/2023,4:02:41 PM,24,21.8,24,21.4
60,3/13/2023,4:02:46 PM,24,21.8,23,21.4
61,3/13/2023,4:02:51 PM,25,21.8,23,21.5
62,3/13/2023,4:02:56 PM,25,21.8,23,21.5
63,3/13/2023,4:03:01 PM,25,21.8,23,21.5
64,3/13/2023,4:03:06 PM,25,21.8,23,21.5
65,3/13/2023,4:03:11 PM,25,21.8,23,21.5
66,3/13/2023,4:03:16 PM,25,21.8,24,21.5
67,3/13/2023,4:03:21 PM,25,21.8,24,21.5
68,3/13/2023,4:03:26 PM,25,21.8,24,21.5
69,3/13/2023,4:03:31 PM,25,21.8,24,21.6
70,3/13/2023,4:03:36 PM,25,21.8,24,21.6
71,3/13/2023,4:03:41 PM,25,21.8,23,21.6
72,3/13/2023,4:03:46 PM,25,21.8,24,21.6
73,3/13/2023,4:03:51 PM,25,21.8,24,21.6
74,3/13/2023,4:03:56 PM,25,21.8,24,21.6
75,3/13/2023,4:04:01 PM,25,21.8,24,21.6
76,3/13/2023,4:04:06 PM,25,21.8,24,21.6
77,3/13/2023,4:04:11 PM,25,21.8,24,21.6
78,3/13/2023,4:04:16 PM,25,21.8,23,21.6
79,3/13/2023,4:04:21 PM,25,21.8,23,21.6
80,3/13/2023,4:04:26 PM,25,21.8,24,21.6
81,3/13/2023,4:04:31 PM,25,21.8,24,21.6
82,3/13/2023,4:04:36 PM,25,21.8,23,21.6
83,3/13/2023,4:04:41 PM,25,21.8,23,21.6
84,3/13/2023,4:04:46 PM,25,21.8,23,21.6
85,3/13/2023,4:04:51 PM,25,21.9,23,21.6
86,3/13/2023,4:04:56 PM,25,21.9,23,21.6
87,3/13/2023,4:05:01 PM,25,21.9,23,21.6
88,3/13/2023,4:05:06 PM,25,21.9,23,21.6
89,3/13/2023,4:05:11 PM,25,21.9,23,21.6
90,3/13/2023,4:05:16 PM,25,21.9,24,21.6
91,3/13/2023,4:05:21 PM,25,21.9,24,21.6
92,3/13/2023,4:05:26 PM,25,21.9,24,21.6
93,3/13/2023,4:05:31 PM,25,21.9,24,21.6
94,3/13/2023,4:05:36 PM,25,21.9,24,21.6
95,3/13/2023,4:05:41 PM,25,21.9,24,21.6
96,3/13/2023,4:05:46 PM,25,21.9,24,21.7
97,3/13/2023,4:05:51 PM,25,21.9,24,21.6
98,3/13/2023,4:05:56 PM,25,21.9,24,21.7
99,3/13/2023,4:06:01 PM,25,21.9,24,21.7
100,3/13/2023,4:06:06 PM,25,22.0,24,21.7
101,3/13/2023,4:06:11 PM,25,22.0,24,21.7
102,3/13/2023,4:06:16 PM,25,22.0,24,21.7
103,3/13/2023,4:06:21 PM,25,22.0,24,21.7
104,3/13/2023,4:06:26 PM,25,22.0,24,21.7
105,3/13/2023,4:06:31 PM,25,22.1,24,21.7
106,3/13/2023,4:06:36 PM,25,22.1,26,21.7
107,3/13/2023,4:06:41 PM,25,22.1,24,21.7
108,3/13/2023,4:06:46 PM,25,22.1,24,21.7
109,3/13/2023,4:06:51 PM,25,22.1,24,21.7
110,3/13/2023,4:06:56 PM,25,22.1,24,21.7
111,3/13/2023,4:07:01 PM,25,22.1,23,21.7
112,3/13/2023,4:07:06 PM,25,22.1,23,21.7
113,3/13/2023,4:07:11 PM,25,22.1,23,21.7
114,3/13/2023,4:07:16 PM,25,22.1,23,21.7
115,3/13/2023,4:07:21 PM,25,22.1,24,21.7
116,3/13/2023,4:07:26 PM,25,22.1,24,21.7
117,3/13/2023,4:07:31 PM,25,22.1,24,21.7
118,3/13/2023,4:07:36 PM,25,22.2,24,21.7
119,3/13/2023,4:07:41 PM,25,22.2,24,21.7
120,3/13/2023,4:07:46 PM,25,22.2,24,21.7
121,3/13/2023,4:07:51 PM,25,22.2,24,21.7
122,3/13/2023,4:07:56 PM,25,22.2,24,21.7
123,3/13/2023,4:08:01 PM,25,22.2,24,21.7
124,3/13/2023,4:08:06 PM,25,22.2,24,21.7
125,3/13/2023,4:08:11 PM,25,22.2,24,21.7
126,3/13/2023,4:08:16 PM,25,22.2,24,21.7
127,3/13/2023,4:08:21 PM,25,22.2,23,21.8
128,3/13/2023,4:08:26 PM,25,22.2,24,21.8
129,3/13/2023,4:08:31 PM,25,22.2,24,21.8
130,3/13/2023,4:08:36 PM,25,22.2,24,21.8
131,3/13/2023,4:08:41 PM,25,22.2,24,21.8
132,3/13/2023,4:08:46 PM,25,22.2,24,21.8
133,3/13/2023,4:08:51 PM,25,22.3,24,21.8
134,3/13/2023,4:08:56 PM,25,22.3,24,21.8
135,3/13/2023,4:09:01 PM,25,22.3,24,21.8
136,3/13/2023,4:09:06 PM,25,22.3,24,21.8
137,3/13/2023,4:09:11 PM,25,22.3,24,21.8
138,3/13/2023,4:09:16 PM,25,22.3,24,21.8
139,3/13/2023,4:09:21 PM,25,22.3,24,21.8
140,3/13/2023,4:09:26 PM,25,22.3,24,21.8
141,3/13/2023,4:09:31 PM,25,22.3,24,21.8
142,3/13/2023,4:09:36 PM,25,22.3,24,21.8
143,3/13/2023,4:09:41 PM,25,22.3,24,21.8
144,3/13/2023,4:09:46 PM,25,22.3,24,21.8
145,3/13/2023,4:09:51 PM,25,22.3,24,21.8
146,3/13/2023,4:09:56 PM,25,22.3,24,21.8
147,3/13/2023,4:10:01 PM,25,22.3,24,21.8
148,3/13/2023,4:10:06 PM,25,22.3,24,21.8
149,3/13/2023,4:10:11 PM,25,22.3,24,21.8
150,3/13/2023,4:10:16 PM,25,22.3,24,21.8
151,3/13/2023,4:10:21 PM,25,22.3,24,21.8
152,3/13/2023,4:10:26 PM,25,22.3,24,21.8
153,3/13/2023,4:10:31 PM,25,22.3,24,21.8
154,3/13/2023,4:10:36 PM,25,22.3,24,21.8
155,3/13/2023,4:10:41 PM,25,22.3,24,21.8
156,3/13/2023,4:10:46 PM,25,22.3,24,21.8
157,3/13/2023,4:10:51 PM,25,22.3,24,21.8
158,3/13/2023,4:10:56 PM,25,22.3,24,21.8
159,3/13/2023,4:11:01 PM,25,22.3,24,21.8
160,3/13/2023,4:11:06 PM,25,22.3,24,21.8
161,3/13/2023,4:11:11 PM,25,22.3,24,21.8
162,3/13/2023,4:11:16 PM,25,22.3,24,21.8
163,3/13/2023,4:11:21 PM,25,22.3,24,21.8
164,3/13/2023,4:11:26 PM,25,22.3,24,21.8
165,3/13/2023,4:11:31 PM,25,22.4,24,21.8
166,3/13/2023,4:11:36 PM,25,22.4,24,21.8
167,3/13/2023,4:11:41 PM,25,22.4,24,21.8
168,3/13/2023,4:11:46 PM,25,22.4,24,21.8
169,3/13/2023,4:11:51 PM,25,22.4,24,21.8
170,3/13/2023,4:11:56 PM,25,22.4,24,21.8
171,3/13/2023,4:12:01 PM,25,22.4,24,21.8
172,3/13/2023,4:12:06 PM,25,22.4,26,21.8
173,3/13/2023,4:12:11 PM,25,22.4,24,21.8
174,3/13/2023,4:12:16 PM,25,22.4,24,21.8
175,3/13/2023,4:12:21 PM,25,22.4,24,21.9
176,3/13/2023,4:12:26 PM,25,22.4,24,21.9
177,3/13/2023,4:12:31 PM,25,22.4,24,21.9
178,3/13/2023,4:12:36 PM,25,22.4,24,21.9
179,3/13/2023,4:12:41 PM,25,22.4,24,21.9
180,3/13/2023,4:12:46 PM,25,22.4,24,21.9
181,3/13/2023,4:12:51 PM,25,22.4,24,21.9
182,3/13/2023,4:12:56 PM,25,22.5,24,21.9
183,3/13/2023,4:13:01 PM,25,22.5,24,21.9
184,3/13/2023,4:13:06 PM,25,22.5,22,21.9
185,3/13/2023,4:13:11 PM,25,22.5,26,21.9
186,3/13/2023,4:13:16 PM,25,22.5,29,21.9
187,3/13/2023,4:13:21 PM,25,22.6,26,21.9
188,3/13/2023,4:13:26 PM,25,22.6,25,21.9
189,3/13/2023,4:13:31 PM,25,22.6,24,21.9
190,3/13/2023,4:13:36 PM,25,22.6,22,21.9
191,3/13/2023,4:13:41 PM,25,22.6,28,21.9
192,3/13/2023,4:13:46 PM,25,22.6,25,21.9
193,3/13/2023,4:13:51 PM,25,22.6,26,22.0
194,3/13/2023,4:13:56 PM,25,22.6,29,22.0
195,3/13/2023,4:14:01 PM,25,22.6,19,22.0
196,3/13/2023,4:14:06 PM,25,22.6,17,22.0
197,3/13/2023,4:14:11 PM,25,22.6,29,22.0
198,3/13/2023,4:14:16 PM,25,22.6,22,22.0
199,3/13/2023,4:14:21 PM,25,22.6,28,22.0
200,3/13/2023,4:14:26 PM,25,22.6,26,22.0
201,3/13/2023,4:14:31 PM,25,22.6,23,22.0
202,3/13/2023,4:14:36 PM,25,22.6,26,22.0
203,3/13/2023,4:14:41 PM,25,22.6,26,22.0
204,3/13/2023,4:14:46 PM,25,22.7,22,22.0
205,3/13/2023,4:14:51 PM,25,22.7,22,22.0
206,3/13/2023,4:14:56 PM,25,22.7,28,22.0
207,3/13/2023,4:15:01 PM,25,22.7,21,22.0
208,3/13/2023,4:15:06 PM,25,22.7,24,22.1
209,3/13/2023,4:15:11 PM,25,22.7,24,22.1
210,3/13/2023,4:15:16 PM,25,22.7,23,22.1
211,3/13/2023,4:15:21 PM,25,22.7,25,22.1
212,3/13/2023,4:15:26 PM,25,22.7,25,22.1
213,3/13/2023,4:15:31 PM,25,22.7,24,22.1
214,3/13/2023,4:15:36 PM,25,22.7,24,22.1
215,3/13/2023,4:15:41 PM,25,22.7,24,22.1
