Legend:

1-P =,Bottom Process
1-A =,Bottom Ambient
2-P =,Top Process
2-A =,Top Ambient


Interval:,5,Seconds
DataPoint,LogDate,LogTime,1-P °C,1-A °C,2-P °C,2-A °C
0,3/6/2023,3:55:21 PM,22,21.4,22,21.3
1,3/6/2023,3:55:26 PM,22,21.4,22,21.3
2,3/6/2023,3:55:31 PM,22,21.4,22,21.3
3,3/6/2023,3:55:36 PM,22,21.4,22,21.3
4,3/6/2023,3:55:41 PM,22,21.4,22,21.3
5,3/6/2023,3:55:46 PM,22,21.4,22,21.3
6,3/6/2023,3:55:51 PM,22,21.4,22,21.3
7,3/6/2023,3:55:56 PM,22,21.4,22,21.3
8,3/6/2023,3:56:01 PM,22,21.4,22,21.4
9,3/6/2023,3:56:06 PM,22,21.4,22,21.3
10,3/6/2023,3:56:11 PM,22,21.4,22,21.3
11,3/6/2023,3:56:16 PM,22,21.4,22,21.3
12,3/6/2023,3:56:21 PM,22,21.4,22,21.3
13,3/6/2023,3:56:26 PM,22,21.4,22,21.3
14,3/6/2023,3:56:31 PM,22,21.4,22,21.3
15,3/6/2023,3:56:36 PM,22,21.4,22,21.3
16,3/6/2023,3:56:41 PM,22,21.4,22,21.3
17,3/6/2023,3:56:46 PM,22,21.4,22,21.3
18,3/6/2023,3:56:51 PM,22,21.4,22,21.3
19,3/6/2023,3:56:56 PM,22,21.4,22,21.3
20,3/6/2023,3:57:01 PM,22,21.4,22,21.3
21,3/6/2023,3:57:06 PM,22,21.4,22,21.3
22,3/6/2023,3:57:11 PM,22,21.4,22,21.3
23,3/6/2023,3:57:16 PM,22,21.4,22,21.3
24,3/6/2023,3:57:21 PM,22,21.4,22,21.3
25,3/6/2023,3:57:26 PM,22,21.4,22,21.3
26,3/6/2023,3:57:31 PM,22,21.4,22,21.3
27,3/6/2023,3:57:36 PM,22,21.4,22,21.3
28,3/6/2023,3:57:41 PM,21,21.4,22,21.3
29,3/6/2023,3:57:46 PM,21,21.4,22,21.3
30,3/6/2023,3:57:51 PM,21,21.3,22,21.3
31,3/6/2023,3:57:56 PM,21,21.3,22,21.3
32,3/6/2023,3:58:01 PM,21,21.3,22,21.3
33,3/6/2023,3:58:06 PM,21,21.3,22,21.3
34,3/6/2023,3:58:11 PM,21,21.3,22,21.3
35,3/6/2023,3:58:16 PM,21,21.3,22,21.3
36,3/6/2023,3:58:21 PM,21,21.3,22,21.3
37,3/6/2023,3:58:26 PM,21,21.3,22,21.3
38,3/6/2023,3:58:31 PM,21,21.3,22,21.3
39,3/6/2023,3:58:36 PM,21,21.3,22,21.3
40,3/6/2023,3:58:41 PM,21,21.3,22,21.3
41,3/6/2023,3:58:46 PM,21,21.3,22,21.3
42,3/6/2023,3:58:51 PM,21,21.3,22,21.3
43,3/6/2023,3:58:56 PM,21,21.3,22,21.3
44,3/6/2023,3:59:01 PM,21,21.3,22,21.3
45,3/6/2023,3:59:06 PM,21,21.3,22,21.3
46,3/6/2023,3:59:11 PM,21,21.3,22,21.3
47,3/6/2023,3:59:16 PM,21,21.3,22,21.3
48,3/6/2023,3:59:21 PM,21,21.3,21,21.3
49,3/6/2023,3:59:26 PM,21,21.3,21,21.3
50,3/6/2023,3:59:31 PM,21,21.3,21,21.3
51,3/6/2023,3:59:36 PM,20,21.3,21,21.3
52,3/6/2023,3:59:41 PM,20,21.3,21,21.3
53,3/6/2023,3:59:46 PM,20,21.3,21,21.3
54,3/6/2023,3:59:51 PM,21,21.3,21,21.3
55,3/6/2023,3:59:56 PM,21,21.3,22,21.3
56,3/6/2023,4:00:01 PM,21,21.3,22,21.3
57,3/6/2023,4:00:06 PM,21,21.3,22,21.3
58,3/6/2023,4:00:11 PM,21,21.3,22,21.3
59,3/6/2023,4:00:16 PM,21,21.3,22,21.3
60,3/6/2023,4:00:21 PM,22,21.3,22,21.3
61,3/6/2023,4:00:26 PM,22,21.3,22,21.3
62,3/6/2023,4:00:31 PM,22,21.3,22,21.3
63,3/6/2023,4:00:36 PM,22,21.3,22,21.3
64,3/6/2023,4:00:41 PM,22,21.3,23,21.3
65,3/6/2023,4:00:46 PM,22,21.3,23,21.3
66,3/6/2023,4:00:51 PM,23,21.3,23,21.3
67,3/6/2023,4:00:56 PM,23,21.3,23,21.3
68,3/6/2023,4:01:01 PM,23,21.3,23,21.3
69,3/6/2023,4:01:06 PM,23,21.3,23,21.3
70,3/6/2023,4:01:11 PM,23,21.3,23,21.3
71,3/6/2023,4:01:16 PM,23,21.3,23,21.3
72,3/6/2023,4:01:21 PM,23,21.3,23,21.3
73,3/6/2023,4:01:26 PM,23,21.3,23,21.3
74,3/6/2023,4:01:31 PM,23,21.3,23,21.3
75,3/6/2023,4:01:36 PM,23,21.3,23,21.3
76,3/6/2023,4:01:41 PM,24,21.3,23,21.3
77,3/6/2023,4:01:46 PM,24,21.3,23,21.3
78,3/6/2023,4:01:51 PM,24,21.3,23,21.3
79,3/6/2023,4:01:56 PM,24,21.3,23,21.3
80,3/6/2023,4:02:01 PM,24,21.3,23,21.3
81,3/6/2023,4:02:06 PM,24,21.3,23,21.3
82,3/6/2023,4:02:11 PM,24,21.3,23,21.3
83,3/6/2023,4:02:16 PM,24,21.3,23,21.3
84,3/6/2023,4:02:21 PM,24,21.3,23,21.3
85,3/6/2023,4:02:26 PM,24,21.3,23,21.3
86,3/6/2023,4:02:31 PM,24,21.3,23,21.3
87,3/6/2023,4:02:36 PM,24,21.3,23,21.3
88,3/6/2023,4:02:41 PM,24,21.3,23,21.3
89,3/6/2023,4:02:46 PM,24,21.3,23,21.3
90,3/6/2023,4:02:51 PM,24,21.3,23,21.3
91,3/6/2023,4:02:56 PM,24,21.3,23,21.3
92,3/6/2023,4:03:01 PM,24,21.3,23,21.3
93,3/6/2023,4:03:06 PM,24,21.3,23,21.3
94,3/6/2023,4:03:11 PM,24,21.3,23,21.3
95,3/6/2023,4:03:16 PM,24,21.3,23,21.3
96,3/6/2023,4:03:21 PM,24,21.3,23,21.3
97,3/6/2023,4:03:26 PM,24,21.3,23,21.3
98,3/6/2023,4:03:31 PM,24,21.3,23,21.3
99,3/6/2023,4:03:36 PM,24,21.3,23,21.3
100,3/6/2023,4:03:41 PM,24,21.3,23,21.3
101,3/6/2023,4:03:46 PM,24,21.3,23,21.3
