Energy_(eV)	counts
9548.398061	0.001826598
9548.64468	0.001541742
9548.891304	0.001986155
9549.137936	0.001576021
9549.384574	0.00183781
9549.631218	0.001621483
9549.877869	0.001951786
9550.124527	0.001951978
9550.37119	0.001963246
9550.61786	0.001655727
9550.864537	0.001610099
9551.111219	0.00167836
9551.357908	0.002191098
9551.604604	0.002122848
9551.851305	0.002327994
9552.098012	0.002077239
9552.344726	0.002122997
9552.591445	0.0024535
9552.838171	0.00219107
9553.084902	0.002396179
9553.33164	0.002635727
9553.578383	0.002385051
9553.825132	0.002339451
9554.071888	0.002772291
9554.318648	0.00263576
9554.565415	0.002749852
9554.812188	0.002818544
9555.058966	0.003149044
9555.30575	0.002840996
9555.552539	0.002989068
9555.799334	0.003103351
9556.046135	0.002932152
9556.292941	0.00323991
9556.539753	0.003262759
9556.78657	0.003502273
9557.033393	0.003809567
9557.280221	0.003935214
9557.527054	0.004208739
9557.773893	0.00394635
9558.020737	0.004208491
9558.267587	0.004573433
9558.514442	0.004539313
9558.761302	0.00512041
9559.008167	0.004756031
9559.255037	0.005416947
9559.501913	0.005599159
9559.748794	0.005816049
9559.99568	0.006328385
9560.242571	0.006625108
9560.489467	0.00687582
9560.736368	0.007616517
9560.983274	0.007343737
9561.230185	0.00844832
9561.477101	0.008835591
9561.724022	0.009063811
9561.970948	0.009975702
9562.217879	0.010284003
9562.464814	0.011412513
9562.711755	0.01187874
9562.9587	0.012061776
9563.20565	0.013086917
9563.452605	0.013851138
9563.699564	0.014796738
9563.946528	0.014968909
9564.193497	0.015628716
9564.440471	0.016598967
9564.687449	0.01811416
9564.934432	0.018353333
9565.181419	0.0190954
9565.428411	0.021328125
9565.675408	0.022630395
9565.922409	0.023856995
9566.169414	0.025877504
9566.416424	0.028920712
9566.663439	0.032225106
9566.910458	0.034331932
9567.157481	0.039255206
9567.404509	0.042965523
9567.651541	0.048696932
9567.898577	0.051977164
9568.145618	0.058899506
9568.392663	0.063473222
9568.639713	0.071469959
9568.886766	0.072713273
9569.133824	0.077496601
9569.380886	0.08411138
9569.627953	0.085234994
