Legend:

1-P =,Bottom Process
1-A =,Bottom Ambient
2-P =,Top Process
2-A =,Top Ambient


Interval:,5,Seconds
DataPoint,LogDate,LogTime,1-P °C,1-A °C,2-P °C,2-A °C
103,2/6/2023,2:33:25 PM,24,22.1,37,22.2
104,2/6/2023,2:33:30 PM,24,22.1,37,22.2
105,2/6/2023,2:33:35 PM,24,22.1,37,22.2
106,2/6/2023,2:33:40 PM,24,22.1,37,22.2
107,2/6/2023,2:33:45 PM,24,22.1,37,22.2
108,2/6/2023,2:33:50 PM,24,22.1,37,22.2
109,2/6/2023,2:33:55 PM,24,22.1,37,22.2
110,2/6/2023,2:34:00 PM,24,22.1,38,22.2
111,2/6/2023,2:34:05 PM,24,22.1,38,22.2
112,2/6/2023,2:34:10 PM,24,22.1,38,22.2
113,2/6/2023,2:34:15 PM,24,22.1,38,22.2
114,2/6/2023,2:34:20 PM,24,22.1,38,22.2
115,2/6/2023,2:34:25 PM,24,22.1,38,22.2
116,2/6/2023,2:34:30 PM,24,22.1,38,22.2
117,2/6/2023,2:34:35 PM,24,22.1,38,22.2
118,2/6/2023,2:34:40 PM,24,22.1,38,22.2
119,2/6/2023,2:34:45 PM,24,22.1,38,22.2
120,2/6/2023,2:34:50 PM,25,22.1,38,22.2
121,2/6/2023,2:34:55 PM,25,22.1,38,22.2
122,2/6/2023,2:35:00 PM,25,22.1,38,22.2
123,2/6/2023,2:35:05 PM,25,22.1,38,22.1
124,2/6/2023,2:35:10 PM,25,22.1,38,22.1
125,2/6/2023,2:35:15 PM,25,22.1,38,22.1
126,2/6/2023,2:35:20 PM,25,22.1,38,22.1
127,2/6/2023,2:35:25 PM,25,22.1,38,22.1
128,2/6/2023,2:35:30 PM,25,22.1,38,22.1
129,2/6/2023,2:35:35 PM,25,22.1,38,22.1
130,2/6/2023,2:35:40 PM,25,22.1,39,22.1
131,2/6/2023,2:35:45 PM,25,22.1,39,22.1
132,2/6/2023,2:35:50 PM,25,22.1,39,22.1
133,2/6/2023,2:35:55 PM,25,22.1,39,22.1
134,2/6/2023,2:36:00 PM,26,22.1,39,22.1
135,2/6/2023,2:36:05 PM,26,22.1,39,22.1
136,2/6/2023,2:36:10 PM,26,22.1,39,22.1
137,2/6/2023,2:36:15 PM,26,22.1,39,22.1
138,2/6/2023,2:36:20 PM,26,22.1,39,22.1
139,2/6/2023,2:36:25 PM,26,22.1,40,22.1
140,2/6/2023,2:36:30 PM,26,22.1,40,22.1
141,2/6/2023,2:36:35 PM,27,22.1,40,22.1
142,2/6/2023,2:36:40 PM,27,22.1,40,22.1
143,2/6/2023,2:36:45 PM,27,22.1,40,22.1
144,2/6/2023,2:36:50 PM,27,22.1,41,22.1
145,2/6/2023,2:36:55 PM,27,22.1,41,22.1
146,2/6/2023,2:37:00 PM,28,22.1,41,22.1
147,2/6/2023,2:37:05 PM,28,22.1,41,22.1
148,2/6/2023,2:37:10 PM,28,22.1,42,22.1
149,2/6/2023,2:37:15 PM,28,22.1,42,22.1
150,2/6/2023,2:37:20 PM,29,22.1,42,22.1
151,2/6/2023,2:37:25 PM,29,22.1,42,22.1
152,2/6/2023,2:37:30 PM,29,22.1,43,22.1
153,2/6/2023,2:37:35 PM,29,22.1,43,22.1
154,2/6/2023,2:37:40 PM,30,22.1,43,22.1
155,2/6/2023,2:37:45 PM,30,22.1,44,22.1
156,2/6/2023,2:37:50 PM,30,22.1,44,22.1
157,2/6/2023,2:37:55 PM,31,22.1,44,22.1
158,2/6/2023,2:38:00 PM,31,22.1,45,22.1
159,2/6/2023,2:38:05 PM,31,22.1,45,22.1
