Legend:

1-P =,Bottom Process
1-A =,Bottom Ambient
2-P =,Top Process
2-A =,Top Ambient


Interval:,5,Seconds
DataPoint,LogDate,LogTime,1-P °C,1-A °C,2-P °C,2-A °C
103,3/23/2023,4:01:48 PM,38,23.3,61,22.7
104,3/23/2023,4:01:53 PM,38,23.3,62,22.7
105,3/23/2023,4:01:58 PM,39,23.3,63,22.7
106,3/23/2023,4:02:03 PM,39,23.3,63,22.7
107,3/23/2023,4:02:08 PM,39,23.3,63,22.7
108,3/23/2023,4:02:13 PM,39,23.3,64,22.7
109,3/23/2023,4:02:18 PM,40,23.3,64,22.7
110,3/23/2023,4:02:23 PM,40,23.3,64,22.6
111,3/23/2023,4:02:28 PM,40,23.3,65,22.6
112,3/23/2023,4:02:33 PM,41,23.3,65,22.6
113,3/23/2023,4:02:38 PM,41,23.3,66,22.6
114,3/23/2023,4:02:43 PM,41,23.3,66,22.6
115,3/23/2023,4:02:48 PM,42,23.3,67,22.6
116,3/23/2023,4:02:53 PM,42,23.3,67,22.6
117,3/23/2023,4:02:58 PM,42,23.2,67,22.6
118,3/23/2023,4:03:03 PM,42,23.2,69,22.6
119,3/23/2023,4:03:08 PM,43,23.2,69,22.6
120,3/23/2023,4:03:13 PM,43,23.2,69,22.6
121,3/23/2023,4:03:18 PM,43,23.2,69,22.6
122,3/23/2023,4:03:23 PM,44,23.2,69,22.6
123,3/23/2023,4:03:28 PM,44,23.2,69,22.6
124,3/23/2023,4:03:33 PM,44,23.2,70,22.5
125,3/23/2023,4:03:38 PM,44,23.2,70,22.5
126,3/23/2023,4:03:43 PM,45,23.2,71,22.5
127,3/23/2023,4:03:48 PM,45,23.2,71,22.5
128,3/23/2023,4:03:53 PM,45,23.2,71,22.5
129,3/23/2023,4:03:58 PM,46,23.2,71,22.4
130,3/23/2023,4:04:03 PM,46,23.2,71,22.4
131,3/23/2023,4:04:08 PM,46,23.2,71,22.4
132,3/23/2023,4:04:13 PM,47,23.2,72,22.4
133,3/23/2023,4:04:18 PM,47,23.2,72,22.4
134,3/23/2023,4:04:23 PM,47,23.2,73,22.4
135,3/23/2023,4:04:28 PM,47,23.2,73,22.4
136,3/23/2023,4:04:33 PM,48,23.2,73,22.4
137,3/23/2023,4:04:38 PM,48,23.2,75,22.4
138,3/23/2023,4:04:43 PM,48,23.2,75,22.4
139,3/23/2023,4:04:48 PM,49,23.2,75,22.4
140,3/23/2023,4:04:53 PM,49,23.2,75,22.4
141,3/23/2023,4:04:58 PM,49,23.2,75,22.4
142,3/23/2023,4:05:03 PM,49,23.2,75,22.4
143,3/23/2023,4:05:08 PM,50,23.1,75,22.4
144,3/23/2023,4:05:13 PM,50,23.1,75,22.4
145,3/23/2023,4:05:18 PM,50,23.1,75,22.3
146,3/23/2023,4:05:23 PM,50,23.1,75,22.3
147,3/23/2023,4:05:28 PM,51,23.1,75,22.3
148,3/23/2023,4:05:33 PM,51,23.1,75,22.3
149,3/23/2023,4:05:38 PM,51,23.1,75,22.3
150,3/23/2023,4:05:43 PM,52,23.1,76,22.3
151,3/23/2023,4:05:48 PM,52,23.1,76,22.3
152,3/23/2023,4:05:53 PM,52,23.1,76,22.3
153,3/23/2023,4:05:58 PM,52,23.1,76,22.3
154,3/23/2023,4:06:03 PM,53,23.1,76,22.3
155,3/23/2023,4:06:08 PM,53,23.1,76,22.3
156,3/23/2023,4:06:13 PM,53,23.1,77,22.3
157,3/23/2023,4:06:18 PM,54,23.1,77,22.3
158,3/23/2023,4:06:23 PM,54,23.1,77,22.3
159,3/23/2023,4:06:28 PM,54,23.1,77,22.3
160,3/23/2023,4:06:33 PM,54,23.1,77,22.3
161,3/23/2023,4:06:38 PM,55,23.1,77,22.3
162,3/23/2023,4:06:43 PM,55,23.1,78,22.3
163,3/23/2023,4:06:48 PM,55,23.1,78,22.3
164,3/23/2023,4:06:53 PM,55,23.1,78,22.3
165,3/23/2023,4:06:58 PM,56,23.1,78,22.3
166,3/23/2023,4:07:03 PM,56,23.1,79,22.3
167,3/23/2023,4:07:08 PM,56,23.1,80,22.3
168,3/23/2023,4:07:13 PM,57,23.1,80,22.3
