Energy_(eV)	counts
9547.899799198547	0.0012173762764420362
9548.145356602805	0.001510708017218608
9548.390922718201	0.0017049411969220136
9548.636497490339	0.0013125108950722757
9548.882080865367	0.0019982729376985847
9549.127672789984	0.0012173762764420362
9549.373273211433	0.0022916046784751567
9549.618882077488	0.002097371498771751
9549.864499336452	0.002097371498771751
9550.11012493714	0.0017049411969220136
9550.35575882888	0.0019982729376985847
9550.601400961514	0.00111827771536887
9550.847051285364	0.0019982729376985847
9551.092709751258	0.002196470059844917
9551.338376310492	0.0016058426358488474
9551.584050914857	0.002097371498771751
9551.829733516599	0.001510708017218608
9552.07542406844	0.0020934075563288244
9552.321122523543	0.001609806578291774
9552.566828835541	0.002097371498771751
9552.8125429585	0.002196470059844917
9553.058264846932	0.0024898018006214886
9553.30399445578	0.0014116094561454418
9553.549731740419	0.0023907032395483227
9553.795476656636	0.0023907032395483227
9554.041229160644	0.0022916046784751567
9554.286989209071	0.0037582633823580146
9554.532756758936	0.0021925061174019904
9554.778531767668	0.0027831335413980606
9555.024314193091	0.004166549453979459
9555.270103993422	0.0026840349803248943
9555.515901127255	0.0026840349803248943
9555.761705553572	0.004166549453979459
9556.007517231728	0.0036631287637277758
9556.253336121446	0.003270698461878038
9556.49916218282	0.0037622273248009417
9556.744995376295	0.0033697970229512038
9556.99083566269	0.004166549453979459
9557.236683003159	0.00472150139598919
9557.482537359214	0.003175563843247798
9557.728398692705	0.0038494340585453275
9557.97426696583	0.00404763118069166
9558.22014214111	0.0051178956402818535
9558.466024181404	0.005633208157862317
9558.7119130499	0.004919698518135522
9558.957808710098	0.005316092762428186
9559.203711125832	0.0058314052800086495
9559.449620261243	0.006703472617452511
9559.69553608078	0.007099866861745176
9559.941458549205	0.00737734283275004
9560.187387631584	0.00805121304804757
9560.433323293275	0.007575539954896373
9560.679265499944	0.0083683284434817
9560.925214217543	0.008645804414486567
9561.171169412315	0.010033184269510892
9561.417131050785	0.008170131321335369
9561.663099099771	0.00983498714736456
9561.909073526358	0.011777318944398615
9562.155054297918	0.010112463118369424
9562.401041382092	0.011499842973393749
9562.647034746786	0.010905251606954753
9562.893034360173	0.012768304555130276
9563.139040190703	0.013917847863579002
9563.385052207066	0.015225948869744793
9563.631070378224	0.014234963259013134
9563.87709467339	0.01697008354463252
9564.123125062028	0.015424145991891127
9564.369161513849	0.017089001817920318
9564.61520399881	0.01815926627751051
9564.861252487113	0.022638521238017618
9565.107306949201	0.02049799231883723
9565.353367355756	0.022757439511305416
9565.599433677686	0.02109258368527623
9565.845505886145	0.027157415622953995
9566.09158395251	0.025968232890076
9566.337667848375	0.030487127275012373
9566.583757545583	0.032627656194192764
9566.829853016174	0.03627448324168527
9567.075954232423	0.037820420794426664
9567.32206116682	0.04463840179626049
9567.568173792068	0.04939513272777246
9567.814292081079	0.05732301761362575
9568.060416006985	0.05930498883508907
9568.306545543117	0.06525090249947904
9568.552680663022	0.07080042191957633
9568.798821340435	0.07753912407255163
9569.044967549311	0.0811066722711856
9569.291119263786	0.0846742204698196
9569.537276458208	0.08665619169128291
9569.783439107117	0.09062013413420955
9570.029607185239	0.0957732593100142
9570.275780667494	0.09775523053147751
9570.521959529	0.0989444132643555
9570.768143745046	0.10290835570728216
9571.01433329112	0.10726869239450146
9571.260528142888	0.11519657728035475
9571.506728276192	0.11202542332601344
9571.752933667067	0.1124218175703061
9571.999144291709	0.12629561612054935
9572.2453601265	0.11638576001323274
9572.491581147995	0.10489032692874548
9572.73780733292	0.09498047082142887
9572.98403865817	0.09022373988991689
9573.230275100806	0.08705258593557558
9573.476516638064	0.07436797011821032
9573.722763247339	0.07198960465245433
9573.96901490619	0.06168335430084506
9574.215271592338	0.05851220034650374
9574.461533283667	0.054151863659284434
9574.707799958218	0.048602344239187134
9574.95407159419	0.03988167086474852
9575.200348169934	0.04543119028484582
9575.446629663957	0.038692488131870525
9575.69291605492	0.03643304093940234
9575.939207321633	0.03556097360195847
9576.185503443055	0.03254837734533423
9576.431804398297	0.027236694471812522
9576.678110166611	0.028703353175695383
9576.924420727399	0.028901550297841715
9577.170736060198	0.028425877204690517
9577.417056144699	0.02117186253413476
9577.663380960732	0.0202997951966909
9577.909710488253	0.021370059656281092
9578.156044707373	0.018357463399656843
9578.402383598333	0.01784215088207638
9578.648727141506	0.015107030596456995
9578.895075317409	0.015305227718603327
9579.141428106677	0.014908833474310663
9579.387785490093	0.01482955462545213
9579.63414744856	0.014631357503305797
9579.880513963111	0.011380924700105951
9580.126885014914	0.013759290165861937
9580.373260585255	0.010112463118369424
9580.619640655552	0.01316469879942294
9580.866025207346	0.008249410170193901
9581.112414222298	0.009359314054213362
9581.358807682194	0.007179145710603708
9581.605205568942	0.0076944582281841725
9581.851607864568	0.007971934199189037
9582.098014551215	0.006901669739598843
9582.344425611149	0.00571248700672085
9582.590841026748	0.005633208157862317
9582.83726078051	0.004166549453979459
9583.083684855039	0.004166549453979459
9583.330113233062	0.006901669739598843
9583.576545897415	0.004444025424984324
9583.822982831041	0.004840419669276988
9584.069424017	0.004562943698272123
9584.315869438458	0.004245828302837992
9584.562319078694	0.0028782681600283
9584.808772921082	0.0039683523318331275
9585.055230949121	0.004166549453979459
9585.301693146399	0.004166549453979459
9585.548159496615	0.0037622273248009417
9585.794629983571	0.0038494340585453275
9586.04110459118	0.0024898018006214886
9586.287583303441	0.0030725013397317055
9586.534066104465	0.0023907032395483227
9586.780552978462	0.0029773667211014663
9587.027043909738	0.0022916046784751567
9587.273538882702	0.002196470059844917
9587.52003788185	0.0022916046784751567
