Energy_(eV)	Live_Counts
9550.0	41.97689417
9550.25	37.036915809999996
9550.5	33.58177146999999
9550.75	39.51086841
9551.0	37.52921853
9551.25	36.29513823
9551.5	45.9219641
9551.75	40.24837715
9552.0	47.407896310000005
9552.25	44.19119303
9552.5	42.47218563
9552.75	44.934370730000005
9553.0	49.13275487
9553.25	43.211584040000005
9553.5	44.193995699999995
9553.75	52.8392635
9554.0	48.14766135000001
9554.25	51.85075667
9554.5	43.70370372000001
9554.75	52.847741039999995
9555.0	49.876543219999995
9555.25	51.35796465999999
9555.5	61.23176413
9555.75	61.23206899
9556.0	59.50355186000001
9556.25	57.777112130000006
9556.5	58.02469147
9556.75	56.54784445999999
9557.0	65.43185627
9557.25	68.39164980999999
9557.5	67.40740895
9557.75	73.33333337
9558.0	73.58347899
9558.25	73.57823810000001
9558.5	84.20881250000001
9558.75	91.6000011
9559.0	85.67901239999999
9559.25	86.91650750000001
9559.5	93.8311243
9559.75	96.0406058
9560.0	100.75324379999999
9560.25	100.98906059999999
9560.5	107.42143329999999
9560.75	120.7209948
9561.0	123.2213438
9561.25	135.8024691
9561.5	132.6081429
9561.75	137.0389908
9562.0	154.8207909
9562.25	165.19909179999996
9562.5	177.27048029999997
9562.75	190.3554373
9563.0	197.29536190000002
9563.25	205.20347959999998
9563.5	218.50102990000002
9563.75	220.7412937
9564.0	254.57870010000002
9564.25	254.12718889999996
9564.5	266.17283960000003
9564.75	281.7623673
9565.0	302.2200945
9565.25	303.20976040000005
9565.5	341.3306574
9565.75	332.8673747
9566.0	364.1829025
9566.25	394.3209877
9566.5	393.56477400000006
9566.75	434.03707670000006
9567.0	468.6214957
9567.25	489.9396696
9567.5	520.0234983
9567.75	571.1584439999999
9568.0	658.5185200000001
9568.25	714.4066799999999
9568.5	754.382516
9568.75	853.1251769999999
9569.0	952.3397239999999
9569.25	1079.012345
9569.5	1163.946008
9569.75	1231.014089
9570.0	1380.966372
9570.25	1444.4384069999999
9570.5	1502.7172679999999
9570.75	1579.8315079999998
9571.0	1670.430024
