Energy_(eV)	Live_Counts
9550.0	5.596220458333334
9550.25	5.34937774
9550.5	4.9796779566666665
9550.75	5.802956988333334
9551.0	4.979423866666667
9551.25	5.844119415000001
9551.5	4.937946533333332
9551.75	4.773662636666667
9552.0	5.4733222800000005
9552.25	5.6376264366666655
9552.5	5.43259678
9552.75	5.308743683333334
9553.0	6.543209878333333
9553.25	6.41975309
9553.5	6.543585931666667
9553.75	6.090738386666668
9554.0	5.719941123333332
9554.25	6.78987977
9554.5	7.159833523333333
9554.75	6.707128321666667
9555.0	6.789808543333334
9555.25	7.901102738333333
9555.5	6.5023728
9555.75	6.8312860266666675
9556.0	7.119585491666666
9556.25	8.189564665
9556.5	7.69423391
9556.75	6.913905483333334
9557.0	8.024691361666667
9557.25	8.27161527
9557.5	8.682000149999999
9557.75	8.5596815
9558.0	9.465020576666667
9558.25	10.3703098
9558.5	10.164985116666665
9558.75	9.671249581666666
9559.0	11.193415653333332
9559.25	10.823482291666666
9559.5	11.604481153333333
9559.75	11.851770785
9560.0	13.044779883333335
9560.25	13.08582041666667
9560.5	13.663161266666668
9560.75	13.581466566666668
9561.0	13.540314516666667
9561.25	15.721567516666667
9561.5	17.52945215
9561.75	17.655062933333337
9562.0	20.083900200000002
9562.25	18.890108799999997
9562.5	20.16460905
9562.75	23.047056783333336
9563.0	22.510288066666664
9563.25	23.7056759
9563.5	25.063740783333333
9563.75	27.654320966666663
9564.0	29.261871283333335
9564.25	31.319514966666663
9564.5	32.263374500000005
9564.75	34.814866333333335
9565.0	36.087194333333336
9565.25	37.57037078333333
9565.5	39.58695436666667
9565.75	41.436966733333335
9566.0	46.133315366666665
9566.25	47.201535283333335
9566.5	47.779647866666664
9566.75	48.2263791
9567.0	53.29468236666667
9567.25	54.8517452
9567.5	61.28103571666666
9567.75	65.10550423333333
9568.0	69.72038008333332
9568.25	74.69452904999999
9568.5	81.40237846666666
9568.75	93.50998616666668
9569.0	99.06981043333333
9569.25	113.119387
9569.5	123.05571566666667
9569.75	138.5712166666667
9570.0	152.68182133333332
9570.25	169.23214299999998
9570.5	176.99589216666664
9570.75	194.756256
9571.0	204.65131799999997
9571.25	217.32013299999997
9571.5	224.63656633333335
9571.75	229.89595566666665
9572.0	240.83098283333334
9572.25	242.9622668333333
9572.5	253.20095849999998
9572.75	265.1656303333333
9573.0	273.5028571666666
9573.25	291.58316383333334
9573.5	292.4601983333334
9573.75	307.62191966666666
9574.0	309.7629755
9574.25	289.70204083333334
9574.5	284.3084925
9574.75	269.4391035
9575.0	256.71798283333334
9575.25	231.0900568333333
9575.5	211.3779596666666
9575.75	194.34562416666668
9576.0	174.06643483333332
9576.25	154.93821383333332
9576.5	143.839078
9576.75	134.13685433333333
9577.0	127.12497466666667
9577.25	111.16104481666666
9577.5	108.9304905
9577.75	100.61709488333334
9578.0	98.48560894999999
9578.25	91.81827143333334
9578.5	84.61655576666668
9578.75	81.57030085000001
9579.0	73.58332803333333
9579.25	71.48140153333333
9579.5	64.32098763333333
9579.75	61.075062133333326
9580.0	57.041651300000005
9580.25	50.73649651666667
9580.5	48.18372338333333
9580.75	47.07421730000001
9581.0	42.424723500000006
9581.25	40.747469
9581.5	37.24138631666667
9581.75	35.43076883333334
9582.0	33.70664098333333
9582.25	30.989077233333337
9582.5	29.4627146
9582.75	26.70984148333333
9583.0	25.430840200000002
9583.25	25.2274961
9583.5	24.278962283333332
9583.75	21.93425843333333
9584.0	19.299752366666667
9584.25	18.520866316666666
9584.5	19.176954749999997
9584.75	17.36552371666667
9585.0	16.707697333333332
9585.25	16.052036116666667
9585.5	15.803719233333332
9585.75	14.117117066666667
9586.0	12.881278433333334
9586.25	13.867642566666667
9586.5	12.221653550000001
9586.75	12.757679566666667
9587.0	11.645897723333334
9587.25	10.411908846666668
9587.5	11.110257781666666
9587.75	8.724635744999999
9588.0	9.464502505
9588.25	9.01205109
9588.5	7.901895200000001
9588.75	8.518914898333334
9589.0	8.229741578333334
9589.25	8.148148325000001
9589.5	8.024427728333333
9589.75	5.762058813333333
9590.0	5.885038046666668
9590.25	6.87212323
9590.5	7.243103263333334
9590.75	6.872417976666667
9591.0	6.460732901666667
9591.25	6.666311116666667
9591.5	6.1316670616666675
9591.75	5.391180265
9592.0	5.67871786
9592.25	5.9251642816666665
9592.5	4.485403693333333
9592.75	5.102230511666667
9593.0	4.856576891666667
9593.25	5.020576131666666
9593.5	4.32115037
9593.75	4.691053396666667
9594.0	3.8273129450000005
9594.25	4.238703541666667
9594.5	4.567789491666667
9594.75	4.732185276666667
9595.0	3.5390946483333336
9595.25	3.950160148333333
9595.5	3.4155159549999996
9595.75	3.456597165
9596.0	2.963044303333333
9596.25	2.7160596
9596.5	3.292282705
9596.75	3.292079483333333
9597.0	3.004176245
9597.25	2.7986487733333334
9597.5	2.839374271666666
9597.75	3.333780528333333
9598.0	2.8806077066666673
9598.25	2.7156837233333335
9598.5	2.427790626666667
9598.75	3.0450542099999995
9599.0	2.674897168333333
9599.25	2.3866687368333337
9599.5	2.7983133385
9599.75	2.6336534266666667
9600.0	2.674907341666666
9600.25	2.7980999433333333
9600.5	2.345750155
9600.75	2.4692272716666666
9601.0	2.1810598383333333
9601.25	2.675029295
9601.5	2.5923386716666665
9601.75	3.045267486666667
9602.0	2.4687498116666666
9602.25	2.4279938466666664
9602.5	1.9750953099999997
9602.75	2.0165218851666666
9603.0	1.9754204401666666
9603.25	1.9342683335000002
9603.5	2.5515317983333334
9603.75	2.2632526116666667
9604.0	2.1400396816666665
9604.25	2.715886843333333
9604.5	1.7283950600000002
9604.75	2.2225068021666665
9605.0	2.3045267983333333
9605.25	2.222120635
9605.5	1.8930041135
9605.75	1.6871412116666666
9606.0	1.9754001116666666
9606.25	1.5226947251666667
9606.5	1.7696083351666665
9606.75	2.0578367666666666
9607.0	1.974922711833333
9607.25	1.5226541351666665
9607.5	2.0165015883333335
9607.75	1.6459178385
9608.0	2.427526405
9608.25	2.3455673283333334
9608.5	1.6048468433333332
9608.75	1.9752172135
9609.0	1.9751156276666666
9609.25	1.7281410968333333
9609.5	1.5637555311666667
9609.75	1.9342580135
9610.0	1.5637047385
9610.25	1.9342376851666667
9610.5	1.5640197693333333
9610.75	1.4814002116666665
9611.0	1.6872326891666667
9611.25	1.8107809250000002
9611.5	2.0987756333333336
9611.75	1.358146652666667
9612.0	1.3580246903333333
9612.25	1.7283239501666667
9612.5	2.0162679216666666
9612.75	1.5637758985
9613.0	1.8516182385000002
9613.25	1.9752781645
9613.5	1.8106894633333335
9613.75	1.3992480986666669
9614.0	1.5636945803333333
9614.25	1.193537615
9614.5	1.6459280666666665
9614.75	1.3169944201666668
9615.0	1.3581162121666666
9615.25	1.4403901985
9615.5	1.7693847868333334
9615.75	1.6463344601666663
9616.0	1.4815221750000003
9616.25	1.5226337436666668
9616.5	0.9876543203333333
9616.75	1.3579129463333335
9617.0	1.8104659801666665
9617.25	1.687263170166667
9617.5	1.2755881781666665
9617.75	2.180927736666667
9618.0	1.522562684333333
9618.25	1.3991363196666666
9618.5	1.4404004168333333
9618.75	1.4403292418333333
9619.0	1.8108825318333333
9619.25	1.3579231043333333
9619.5	1.851953487
9619.75	1.645907705
9620.0	0.946502057
9620.25	1.4402377898333334
9620.5	1.4401972716666667
9620.75	1.6873139418333334
9621.0	1.5637555311666667
9621.25	1.3168826555
9621.5	1.4816339351666663
9621.75	1.7285170535
9622.0	1.7695473745
9622.25	1.3991262138333334
9622.5	1.1933343828333334
9622.75	1.4813697350000001
9623.0	1.7282732343333336
9623.25	1.4402479486666666
9623.5	1.9750851516666665
9623.75	1.0288269461666668
9624.0	1.5226337736666664
9624.25	1.4814205283333333
9624.5	1.7282426818333334
9624.75	0.8229538395000001
9625.0	1.2345679001666667
9625.25	1.8930041133333333
9625.5	1.2759031078333336
9625.75	1.3580246905
9626.0	1.4403088996666666
9626.25	1.2344459966666668
9626.5	1.3168419963333333
9626.75	1.19346649
9627.0	1.399217608
9627.25	1.5637860513333333
9627.5	1.7695473235
9627.75	1.4814002368333332
9628.0	1.3990550511666664
9628.25	1.3579738968333332
9628.5	1.48148148
9628.75	1.316740365
9629.0	1.3579738968333335
9629.25	1.1934156619999998
9629.5	1.6050297418333335
9629.75	1.5638165266666666
9630.0	1.4481536033333333
9630.25	1.4439966066666667
9630.5	1.4606366466666667
9630.75	1.448165865
9631.0	1.45648921
9631.25	1.5605222983333336
9631.5	1.473152005
9631.75	1.4481514216666664
9632.0	1.39824003
9632.25	1.4689728766666665
9632.5	1.5854775816666666
9632.75	1.294203927
9633.0	1.3857427501666668
9633.25	1.3774163916666666
9633.5	1.5147683150000002
9633.75	1.4065508016666666
9634.0	1.444016765
9634.25	1.53973721
9634.5	1.4356809516666666
9634.75	1.4065430066666667
9635.0	1.3607879866666668
9635.25	1.3441418166666665
9635.5	1.3857509566666666
9635.75	1.44816649
9636.0	1.3691056166666666
9636.25	1.4232042466666668
9636.5	1.4440162436666668
9636.75	1.4273520983333334
9637.0	1.49394925
9637.25	1.4231831516666666
9637.5	1.4023958833333332
9637.75	1.4772768966666667
9638.0	1.4398503116666665
9638.25	1.4897670050000003
9638.5	1.3690982416666666
9638.75	1.5480532816666666
9639.0	1.5064447650000001
9639.25	1.5938074716666666
9639.5	1.4648143216666665
9639.75	1.4689967766666667
9640.0	1.46482918
9640.25	1.6063123316666665
9640.5	1.3316522250000002
9640.75	1.68123013
9641.0	1.5147458733333332
9641.25	1.4190361316666664
9641.5	1.5647055816666666
9641.75	1.3940726383333333
9642.0	1.448177815
9642.25	1.4856124
9642.5	1.6687262049999998
9642.75	1.4231965566666667
9643.0	1.6229519633333334
